start	end	text
2180960	2206960	Please suggest any other compilation time accommodations that might be needed to ensure that we're not constantly having to search in place when we change different decisions.
2206960	2214960	I've no doubt there are existing processes and practice for this that include things I haven't thought of.
2214960	2235960	The job should be to reduce the amount of work as much as humanly possible.
2235960	2264960	It should not be apparent to anyone at any time that this book was written, co-written by AI, which places even greater emphasis on using my core text as much as possible, where that is not possible for any given reason.
2265960	2280960	You will attempt to write things in my voice, but honour any changes that I make to adjust the voice.
2280960	2299960	I'll likely come back to structure and process at some point, but from here on I will talk about the context and purpose of the book.
2299960	2312960	I'm assuming the book will be called Heart Against Mental Wellness, but this might be changed, but we use that as a working title.
2312960	2332960	The book and the podcast should be considered companions, although they could deviate and the podcast seems to be quite freeform.
2332960	2342960	The book should be considered a tidied up and canonical version of the things I say at any given point.
2342960	2370960	It's to be read by anyone in any creative enterprise. Stylistically, no. We need to make sure we're not adhering too slavishly to the types of creative enterprise that I do, for example, painting, certain types of writing, certain types of music and music making.
2370960	2390960	I take the broadest possible interpretation of the word art, which includes things like, of course, paintings and sculpture, but writing, music making, theatre, performance, comedy.
2390960	2408960	Even things like coding that have a creative element using language models or image generation models.
2409960	2431960	The point here, although I use the word art, is used to encompass, basically, all creative endeavors, considering, for example, that writing a textbook, I would consider it quite creative endeavor.
2432960	2440960	And we should approach the creation of this book creatively.
2440960	2454960	The book should be read by anyone with an interest in creativity either because they already have some sort of creative discipline or they wish to start out.
2454960	2483960	But the focus is on, rather than getting to a point of mastery in any given creative enterprise or technique or whatever, to use the process itself as a means to manage mental health.
2484960	2498960	Being able to create wonderful things is a happy side effect, which is really the core thesis of the whole book.
2498960	2516960	People shouldn't feel that they need to stick slavishly with one medium or approach or area or style or anything because the output's not the really the point of the process is.
2516960	2537960	We don't disregard the output and we don't try to celebrate it, but if you get too wrapped up in delivering things, you risk destroying the health advantages of the process itself.
2538960	2547960	We will delve in somewhat lightly, the psychological aspect or a couple of episodes about this.
2548960	2555960	We will be practical wherever appropriate. Again, there are many examples of this.
2556960	2572960	I consider the creative process not simply the time you spend in front of a mise on or with your instruments in your hands or in front of the keyboard.
2572960	2599960	The whole process in terms of mindset, the mise en place, getting yourself the right materials, tidying or preparing your workspace, going out for walks and getting exercise to clear your mind or to ponder and think creatively.
2603960	2616960	Meeting people with a similar mindset or who do something similar, both online and in person, building community. This is all part of the creative process.
2617960	2631960	There will be regular references to Zen Buddhism and parts of that philosophy that relate to this and guided me in the past.
2631960	2647960	This is not a book about Zen. Zen is not called to this thesis. It is simply a helpful philosophy in terms of explaining it and therefore other stuff like Stoicism.
2648960	2666960	Any type of philosophy that echoes or reinforces the core message could be used as well as quotes from anyone, frankly, either philosophically or creatively.
2667960	2682960	We are in scope. We will not use any copyrighted material at all. There will be a bot to go and check this.
2683960	2698960	The book should take people on a journey understanding the core purpose and approach.
2698960	2711960	It will tell you everything they are going to tell you in the first chapter and make most of the rest of the books redundant.
2712960	2732960	We need to hold stuff back and create a sense of purpose and momentum through the book that keeps the reader coming back and engages them in a way that they feel is very personal.
2732960	2748960	Therefore, there will be a lot of autobiographical and personal exposition from me, some of which might be very almost potentially uncomfortable.
2762960	2767960	This book should not be considered.
